文本,分类,情感,编号
李佳琦从新粉1到挚爱粉4，一路的陪伴，喜欢你的直播间，即可以购物又可以感受直播间带来的欢乐气氛。,直播间氛围,positive,3776
李佳琦刚刚付定金直播间气氛太激动了，给我整得头晕了,直播间氛围,positive,3777
不过也就看过一次，我对送多少小样多少赠品其实理不太清，还是比较喜欢简单直白的实惠，不然算半天真的头疼,优惠,positive,3778
李佳琦的一个直播间气氛非常的干净，而且看他直播的时候也太逗了，直播间也很有快乐，买它买它买它,直播间氛围,positive,3779
相比之下，李佳琦简直索然无味。,主播支持度,negative,3780
其他主播，没几个说谢谢，只是重复请关注主播有福利啥的。,福利,positive,3781
我就喜欢李佳琦直播间里的气氛，大家的氛围感实在是太棒了，这样热热闹闹的多好啊,直播间氛围,positive,3782
好想去李佳琦直播间当后面站着的一排试吃气氛组,主播支持度,positive,3783
我知道我的理想职业是啥了去李佳琦直播间坐后面站着的一排试吃的气氛组,主播支持度,positive,3784
这次太晚感受到节日气氛，李佳琦直播间的链接已经没了，,主播支持度,positive,3785
快去李佳琦直播间，太有氛围感了，气氛太欢乐了，逗死。,直播间氛围,positive,3786
真的是每天以互黑为乐，哈哈哈哈哈哈佳琦的直播间真的是太欢乐了,直播间氛围,positive,3787
李佳琦和旺旺的直播间互动真的是搞笑又友爱在介绍产品时，旺旺：李佳琦，你说话啊李佳琦边咽边说：喝了一口珍珠奶茶，发现里面有珍珠，不停地嚼。,直播间氛围,positive,3788
这种互怼的气氛真是轻松又愉快,直播间氛围,positive,3789
就是不尴尬，互相打配合，适当的热情，合适的气氛，主动散发的善意，不掩饰的主动的真诚。,主播品质,positive,3790
任嘉伦李佳琦直播因为任嘉伦，第一次进了李佳琦的直播间，气氛很欢乐，我却还没有看够，手忙脚乱的抢了一件卫衣,直播间氛围,positive,3791
难得有兴趣蹲个李佳琦直播间零食节，看看买点啥，辣的甜的不能吃、茶不能喝、贵的吃不起大概就是看个气氛吧,直播间氛围,positive,3792
李佳琦佳琦终于露出了笑脸，直播间的气氛好好哦。,直播间氛围,positive,3793
在佳琦直播间买的东西都很满意售后耶没得说,售后,positive,3794
几分钟的小剧场既好玩又放松了戳屏幕下单的小手，瞬间缓解了紧张气氛，佳琦太懂女生了！,主播支持度,positive,3795
因为晚上睡得晚了点，就去李老头的直播间看了一眼，那个时候就还剩几个品没上了，就那么一小会会我都没忍住下单了,主播专业度,positive,3796
谁让他一直说我辛苦了呢嘻嘻，旺旺也好棒，对产品介绍好熟练哦，直播间气氛也好好，爱！,直播间氛围,positive,3797
李佳琦直播间营造的你不买，就没了的气氛，咄咄逼人，给你一种买了，还以为赚了的感觉。,直播间氛围,negative,3798
双十一谁又能一分钱不花的离开李佳琦直播间呢，那个直播间气氛就好像起跑打枪了一样,直播间氛围,negative,3799
李佳琦销售额进直播间气氛和节奏让我心跳加速，为了身体健康，我退出了,直播间氛围,negative,3800
佳琦真的是魔鬼，钱包空空走出直播间,主播专业度,positive,3801
随便点进李佳琦直播间看了看，就下单了两个，总感觉好紧张的气氛啊，我都快听不清他说的优惠是什么了。,直播间氛围,positive,3802
佳琦真的是魔鬼啊。,主播专业度,positive,3803
大家都买点什么啊李佳琦直播间整个过年的气氛，搞得人很激动想疯狂买买买，但我突然不知道买啥,直播间氛围,positive,3804
李佳琦直播间气氛太好了！让人忍不住想买！,直播间氛围,positive,3805
李佳琦笑死了旺旺你是一个女孩子啊能不能矜持现在觉得旺旺越来越搞笑了直播间气氛也很好,直播间氛围,positive,3806
觉得好暖心啊，事实上我真的是习惯性需要陪伴，直播间热闹的气氛，佳琦的声音，让我觉得很有安全感，不再是孤零零一个人了。,直播间氛围,positive,3807
李佳琦配真的很会说，也很能带动气氛等我玩回来看他居然还在说，都是顶流了还这么敬业,主播品质,positive,3808
大家看他们直播间乐呵乐呵，气氛很欢乐啊。,直播间氛围,positive,3809
被李佳琦金靖笑死直播间金靖一出现，气氛就变得欢乐了起来，哈哈哈哈哈哈哈，两人同框满是笑点,直播间氛围,positive,3810
李佳琦金靖刘胜瑛直播李佳琦金靖刘胜瑛这三个人一起直播也太快乐了吧，本来李佳琦的直播间就很吵闹，现在更热闹了，这气氛太好了！,直播间氛围,positive,3811
感觉佳琦声嘶力竭地喊也没有那么有吸引力了，反倒有点尬。还是喜欢以前超级欢乐的气氛。,直播间氛围,negative,3812
李佳琦刘宇直播李佳琦直播间气氛真的特别好啊，一直在哈哈哈哈。,直播间氛围,positive,3813
王霏霏因为李佳琦变成大嗓门这两人到一起太欢乐了，姐姐性格开朗大方，互动太搞笑了直播间太炸了，不过要的就是这种气氛,直播间氛围,positive,3814
两张小嘴绝对能把直播间的气氛带到高潮这就是做小贾粉丝的好处吗哈哈哈jjjustin0219,直播间氛围,positive,3815
李佳琦真的很有礼貌了，在直播间中，邀请到了谭松韵，为了活跃气氛，把自己的狗狗也带到直播间，请谭松韵帮忙教拍照姿势。,主播品质,positive,3816
李佳琦张韶涵直播真的是太嗨了，看着直播间的气氛，真的是很好啊，张韶涵终于来了李佳奇的直播间。,直播间氛围,positive,3817
李佳琦直播笑死，金靖一出来，直播间的弹幕都是老板娘来了欢迎老板娘！,直播间氛围,positive,3818
果然，开心果来了气氛都活跃了起来,直播间氛围,positive,3819
看得我好开心啊！直播间真的是好热闹哦！喜欢这样的气氛啊！,直播间氛围,positive,3820
李佳琦时代少年团直播，美眉们直播间气氛还不错,直播间氛围,positive,3821
李佳琦时代少年团直播看了直播，被弟弟们安利了很多东西，直播间的气氛也很有趣，大家都可以去看一下。,直播间氛围,positive,3822
李佳琦纪录片，自从看了他的直播以后，我的快乐都是他给的，整个直播间的气氛都好好，,直播间氛围,positive,3823
充满正能量的李佳琦，直播间传递一种正能量，希望李佳琦越来越好！,主播品质,positive,3824
不得不说包装太有节日气氛啦！,包装,positive,3825
多囤一点过年放在家里也可以招待亲朋好友一直都很喜欢喝兰芳园！,饮品质量,positive,3826
我就是不买东西，如果直播间气氛好，介绍东西清楚，也愿意看。,直播间氛围,positive,3827
点进李佳琦直播间被笑死，也太有跨年的气氛了,直播间氛围,positive,3828
总是感觉不买就亏大发了，但我想买的是一样都没有抢到还不如老老实实下载个好省抢神单付定那种捡漏的感觉实在是太爽了！,价格,positive,3829
李佳琦直播间的气氛真的是太好了，就算不买东西，在里面看的也很欢乐！,直播间氛围,positive,3830
不过还是忍不住买买买，因为东西太好了，价格也实惠！,价格,positive,3831
直播间抢东西好喜欢李佳琦啊感觉就很有意思19号预告的时候直播气氛好像过年，就算不买东西光听也很有意思,直播间氛围,positive,3832
李佳琦牛b和一亿人呆在一个直播间有种过节的气氛抢了个卸妆水然后就看着他聊天还挺好笑的,直播间氛围,positive,3833
反正只要我一看李佳琦直播间，我就是要买好多东西不过李佳琦直播间确实很搞笑啊，李佳琦很会带动气氛,直播间氛围,positive,3834
明星直播间搞笑名场面吹唢呐的李佳琦自带搞笑气氛啊，看得我特别的想笑,直播间氛围,positive,3835
明星直播间搞笑名场面李佳琦和金靖这个组合太逗了，气氛太棒了，我第一个就想到了他俩,直播间氛围,positive,3836
今晚佳琦直播间气氛真的好嗨！,直播间氛围,positive,3837
李佳琦直播间感觉气氛很活跃，他的助理什么的很放的开，也经常跟他开玩笑，感觉很轻松。,直播间氛围,positive,3838
李佳琦新直播间很喜欢，专业度和烟火气并存。,直播间氛围,positive,3839
新直播间第一天难免会有一些问题，比如镜头切换，但肯定会改进，相信佳琦和他的伙伴们，直播间一定会越来越好佳琦,主播信任度,positive,3840
直播间光线也亮了，加上金婧这个可人儿一来，气氛嗨到爆,直播间氛围,positive,3841
顺便被李佳琦种草了蔻依的七夕限定包包和仙境花园香氛,主播信任度,positive,3842
金靖李佳琦手动消音哈哈哈，今晚直播间气氛好好，两个人又吵又好笑太欢乐了，金靖自备消音贴真的笑死了,直播间氛围,positive,3843
李佳琦金靖剪彩金婧太搞笑了，直播间气氛好好,直播间氛围,positive,3844
李佳琦最近直播间气氛也太好了吧！好喜欢好喜欢！,直播间氛围,positive,3845
即使没有想买的东西也要按时打开直播，就像看综艺节目一样哈哈哈哈旺旺好有梗，依雯姐也好可爱！,直播间氛围,positive,3846
还有明天的金琦对掌，我的快乐又回来了,直播间氛围,positive,3847
我是从19年10月开始关注佳琦的，一路佛系地跟着买买买现在也升到了挚爱粉。,主播支持度,positive,3848
当初喜欢佳琦很大一部分的原因是直播间那种不那么刻意，在唠唠叨叨和各种说笑中完成卖货的气氛。,主播支持度,positive,3849
没有过多机械刻板的营销词汇，有的只是漂亮的小哥哥和小姐姐时不时给你种下的心头好。,主播信任度,positive,3850
直到如今我依然怀念那种氛围，可能不那么专业严谨，但是邻家。,直播间氛围,positive,3851
相信佳琦吧，也相信他依旧还是那个千万个主播中给你带来独一无二体验的“人间唢呐”。,主播信任度,positive,3852
 看到超话中很多姐妹在感慨现在的直播间越来越平淡，烟火气越来越少，整场下来更像一场非常具有仪式感的流程化直播作业。,直播间氛围,negative,3853
希望佳琪直播间更有趣，我也心甘情愿守着你，多买一点,主播信任度,positive,3854
现在直播间状态气氛好到不行，宝宝你继续专心搞事业嗷就爱看你往前冲！,直播间氛围,positive,3855
付鹏还是那么温柔，李佳琦还是那样精灵搞怪。,主播品质,positive,3856
直播间气氛还是那样融洽热闹。,直播间氛围,positive,3857
感觉直播间要有小助理n姓女士和李佳琦才算完整。,团队合作,positive,3858
李佳琦小助理回来了哈哈哈哈哈哈哈哈有小助理和n姓女星的直播间才完整咩气氛都不一样了,直播间氛围,positive,3859
李佳琦小助理回来了回来了直播间气氛变得好好啊，还是原来的味道,直播间氛围,positive,3860
李佳琦送刘雨昕架子鼓刘雨昕还偷亲了一下never，看来气氛真的好。,直播间氛围,positive,3861
各位妹妹风格各异但是在直播间表现都非常不错，大方得体也能够带动直播间的气氛不过,主播专业度,positive,3862
佳琦直播间气氛好好啊,直播间氛围,negative,3863
而最近因为小助理不再参与直播间工作，感觉其他工作人员与李佳琦的默契程度还是不够，也不会活跃气氛。,团队合作,negative,3864
没有了小助理的李佳琦直播间仿佛拿铁没加奶气氛太闷了,直播间氛围,negative,3865
李佳琦小助理转幕后做合伙人没有了鹏鹏的直播间今天只有李佳琦一个人在很安静那种吵吵闹闹的气氛没有了,直播间氛围,negative,3866
今天口红背景墙换了超大的，小助理也走了就感觉这是另一个开始了，以前那种一家人热闹的气氛没有了，更多了卖货的专业感了。,直播间氛围,negative,3867
不管怎样大家都往前看，希望他们都能好好的。,主播支持度,positive,3868
看直播不到一年时间就是很喜欢佳琦直播间的气氛,直播间氛围,positive,3869
每天不买东西都愿意去看看，看他们斗嘴，看狗子们都成了习惯然后被种草东西再剁手,主播支持度,positive,3870
今天小助理一说离开真的就觉得很难受的，他是和佳琦一路打拼过来的人，互相配合合的非常好，不管背后有怎样的原因相信这是他们共同的选择了。,团队合作,positive,3871
佳琦也要继续为这份事业努力下去，他们都在奔赴自己的远方。,主播支持度,positive,3872
最后，希望他们能记住从藉藉无名一起走向巅峰的时光，希望他们继续友谊长存，都越来越好。,主播支持度,positive,3873
有他们两的直播间才是最完整的，他们两缺一不可，打个不太好却最直接的比喻，他们两就像是肯德基和吮指原味鸡一样，少了任何一方都不是那个味了,团队合作,positive,3874
李佳琦小助理转幕后做合伙人没有意思了，真的，很理解也很祝福，但是直播间对我的吸引力没有了。,直播间氛围,negative,3875
短短40分钟，制霸李佳琦的金靖女士表演了：相声+女团cover+才艺表演，能在李佳琦直播间控场,直播间氛围,positive,3876
直播间的工作人员都被网暴过，希望佳琦可以开心一点,主播支持度,positive,3877
佳琦今天可以明显的感觉出直播间气氛低沉，没有小助理只能拼命卖货，连播二十天真的挺累的，好几次都口误了,直播间氛围,negative,3878
色号讲错，趁这个假期好好调整好好休息吧！,主播专业度,negative,3879
这次李佳琦明显有点方，没有控制好节奏，说白了还是气氛不对，强拗梗，没话找话，然后就翻车了车也是技术活，也分人和场合。,直播间氛围,negative,3880
希望佳琦能再请一次金靖上直播间，姐超有梗又好笑，很会调节直播间气氛，而且两个人合作的氛围是真的很好，,直播间氛围,positive,3881
不过人红是非多，李佳琦以后说话还是注意点吧，怎么说也是大主播，不要毁在随心所欲上哦,主播品质,negative,3882
今晚七点30分，我在直播间等你们来的人越多，气氛越热闹，福利就越多哈哈，今晚大家一起燥起来！！,福利,positive,3883
直播，你的外表不是一切，有趣的灵魂才是正解！,主播品质,positive,3884
要被笑死了，金靖小姐姐一人就可以撑起的直播大戏，佳琦完全的插不上话，更是直接赶着李佳琦下班哈哈,直播间氛围,positive,3885
哈哈哈哈，金靖小姐姐的妙语连珠把直播间的气氛带的特别火热，真是瞬间吸粉无数。,直播间氛围,positive,3886
金靖真可爱佳琦鹏鹏唱歌真好听今晚直播间气氛真好让我真开心,直播间氛围,positive,3887
第一次看李佳琦直播，他人好棒哦，超会带气氛，爱了爱了。,直播间氛围,negative,3888
李佳琦小哥哥也好专业！！很能带动气氛！！！,主播专业度,positive,3889
最后，希望大家都能买到自己想买的，在我们李佳琦直播间快快乐乐开开心心，不要自己带节奏，李佳琦直播间，以李佳琦为主。,直播间氛围,positive,3890
以李佳琦为主，大家可以开开心心看直播、看狗子,直播间氛围,positive,3891
每一场直播佳琦都有认认真真努力负责工作都是公司团队助理们还有各种安排的，不是佳琦一个人安排的，大家多多理解。,团队合作,positive,3892
李佳琦去年年底第一次来到直播间，买了不少东西，美妆类真的是跟着买就对了,化妆品质量,positive,3893
佳琦直播间全部都很好，也很喜欢直播间的气氛。,直播间氛围,positive,3894
我看他直播就是喜欢那种轻松感啊网络警察能不能离我的快乐远一些心塞心塞,直播间氛围,positive,3895
今晚明显感到气氛紧张李佳琦连话都不敢说了状态也没有之前松弛就一直处于看眼色状态语气也不对了烦死了。,直播间氛围,negative,3896
干，也是李佳琦默认的员工福利之一了。,福利,positive,3897
看到佳琦也快哭了，真的有点心疼，经常看佳琦直播间买东西，他们整个团队气氛都很好,团队合作,positive,3898
有一个李佳琦预告bot，真的可以让我理智很多，省很多时间。,主播专业度,positive,3899
最近看过最好笑的一个综艺是李佳琦的直播间，他今天晚上说他要是不直播了可以去节目里当气氛组观众,直播间氛围,positive,3900
直播间气氛很热闹，超多小姐姐嘻嘻哈哈的声音,直播间氛围,positive,3901
跳绳的时候听着佳琦的直播感觉都没有平时累了，真的非常活跃气氛！！,直播间氛围,positive,3902
沉浸在直播间高涨的热情中不能自拔，就是喜欢这种气氛。,直播间氛围,positive,3903
好喜欢李佳琦啊，喜欢他一脸真诚推销东西的样子，在我看来他不是一个销售，而是一个励志偶像,主播品质,positive,3904
宋康今晚上配合的很好啊，有在努力活跃气氛，努力cue流程，也在纠正佳琦的一些口误之类,团队合作,positive,3905
希望他们能一直火下去，我种草了好多东西等搬家以后买呢。,主播支持度,positive,3906
看他们的直播会很解压，最关键的是他们让我这个普通人也能买的起大牌，我在李佳琦直播间买的东西还真的都挺不错的。,主播支持度,positive,3907
小闲闲来佳琦直播间，气氛正经不了3秒，爱你们，爱你们,主播支持度,positive,3908
少了抢货时“王府里的女人太多了，多得让人生气......”的仇敌感，气氛突然变得温暖。,直播间氛围,positive,3909
李佳琦曾在直播间演示一款不粘锅使用方法的时候，鸡蛋在锅底粘牢，整个直播间气氛一度十分尴尬，满屏垮了的弹幕,主播信任度,negative,3910
李佳琦的小助理直播间没有你的身影气氛都不活泼了快回来,直播间氛围,negative,3911
本来今天心情就不太好，合计看看佳琦的直播找找好心情，没想到今天直播间的气氛也这么紧张，好不习惯,直播间氛围,negative,3912
李佳琦我真喜欢李佳琦，是越来越喜欢那种。,主播支持度,positive,3913
接地气，敬业，直播气氛好好，超级有梗。,主播品质,positive,3914
说着说着我又想去他直播间花钱了。,主播支持度,positive,3915
哦，最主要的一点是，花出去的钱买到了自己喜欢东西，又支持了他的工作，这种等价的互相支持，真的超级赞，,主播支持度,positive,3916
寝室里三声道李佳琦直播间，充斥着欢快的气氛,直播间氛围,positive,3917
光棍节过出了春节的气氛真的李佳琦的直播间像是在过年,直播间氛围,positive,3918
魔鬼李佳琦果然是魔鬼。,主播专业度,positive,3919
直播间里气氛太好了。,直播间氛围,positive,3920
不知道什么时候流行直播购物的，我都要跟不上这飞快变幻的世界了，整个直播间营造出的紧张热烈的双十一气氛确实比较能诱人心动,直播间氛围,positive,3921
看了一晚上李佳琦直播，真的强直播间的气氛贼紧张贼刺激，就好像错过一秒钟就要错过全世界了,直播间氛围,positive,3922
【所有女生，这个必须给我秒到】，真的是太有意思了。,直播间氛围,positive,3923
也确实很优惠，不过不能老去，要不钱包不保,优惠,positive,3924
邓超在李佳琦的直播间真是太有欢乐氛围了,直播间氛围,positive,3925
昨晚播零食环节所营造的氛围有丝浪漫感，让我当时也想穿越到直播间吃块巧克力浅猜今晚的零食节也会很精彩！,直播间氛围,positive,3926
生活中有甜有苦，多看些正能量的，远离负能量才会让自己感受到希望并品尝到生活里的甜！在我心里：佳琦就是那满满的正能量,主播支持度,positive,3927
佳琦直播间就是我和朋友们的快乐源泉！,直播间氛围,positive,3928
今天依然来为佳琦加油,主播支持度,positive,3929
其实每个人在生活里或多或少都会有各种情绪和压力，在难过和疲惫的时候，打开佳琦直播间聆听一些快乐的声音，分散一下坏情绪的专注力不失为一种调节心情的好方法！,直播间氛围,positive,3930
邓超李佳琦直播间疯狂上链接果然我还是会非常喜欢这种有趣的氛围感啊，希望以后两个人也可以多合作李佳琦,直播间氛围,positive,3931
看到这个直播间真的是感受到了十足的欢乐，而且整个氛围是相当的不错,直播间氛围,positive,3932
李佳琦邓超在直播里面怎么会这么的欢乐了呀？,直播间氛围,positive,3933
我现在感觉这个氛围还挺不错的呢，这个作品的一些设定我也很喜欢李佳琦卖票的时候邓超在撸狗,直播间氛围,positive,3934
邓超李佳琦直播间疯狂上链接李佳琦卖票的时候邓超在撸狗直播间氛围真的超好，上链接秒没,直播间氛围,positive,3935
邓超李佳琦直播间疯狂上链接这两人简直就是我的双厨快乐，直播间真是相当有意思,直播间氛围,positive,3936
感受一下这样的氛围了。已经开始期待了！,直播间氛围,positive,3937
邓超李佳琦直播间疯狂上链接救命邓超好适合当主播，有他的地方氛围都好欢乐，喜欢他,直播间氛围,positive,3938
邓超李佳琦直播间疯狂上链接真是没有想到这一次直播间的氛围这么的可爱了呀，而且票都瞬间被抢光了,直播间氛围,positive,3939
邓超李佳琦直播间疯狂上链接超级喜欢邓超和李佳琦，这一次给我们带来的直播间氛围感，直接拉满了呢！,直播间氛围,positive,3940
邓超李佳琦直播间疯狂上链接超哥在李佳琦的直播间氛围也太欢乐了，中国乒乓这部影片真的值得走进影院观看，,直播间氛围,positive,3941
邓超李佳琦直播间疯狂上链接好喜欢李佳琦和邓超两个人的直播，互动真的太快乐了！,直播间氛围,positive,3942
快乐的氛围堪比春晚，李佳琦卖票的时候邓超在撸狗，这俩人在一起也太快乐了！,直播间氛围,positive,3943
邓超李佳琦直播间疯狂上链接超哥的性格也太有意思了，在李佳琦直播间疯狂上链接,直播间氛围,positive,3944
这个直播间氛围真的是很欢乐，而且中国乒乓的票真的很难抢，瞬间被抢光了,直播间氛围,positive,3945
邓超李佳琦直播间疯狂上喊上链接的时候怎么那么激动那么疯狂，把一旁的李佳琪都震惊住了。,直播间氛围,positive,3946
链接邓超来到了李佳琦的直播间激动的简直跟上了春晚一样，超哥也太好笑了，带动的整个直播间的氛围都是欢乐的,直播间氛围,positive,3947
邓超李佳琦直播间疯狂上链接果然这一次直播间的氛围真的还是很愉快的呀，,直播间氛围,positive,3948
而且我觉得邓超又是给我们带来无穷无尽的一些乐趣呢，真是太可爱了,直播间氛围,positive,3949
邓超在李佳琦直播间疯狂上链接，直播间有更多的愉快，李佳琦卖票的时候邓超在撸狗,直播间氛围,positive,3950
但是正装太贵了一直没舍得买。没想到李佳琦直播间竟然卖了，太惊喜了。便宜了好多，立马下单。,价格,positive,3951
李佳琦直播我今晚在佳琦直播间依然是“好物+快乐”双收！,直播间氛围,positive,3952
超喜欢佳琦他们那种“在认真讲解商品的同时又不缺笑点”的氛围感！,主播支持度,positive,3953
看了直播由衷觉得李佳琦能火真的是有原因的。,主播支持度,positive,3954
李佳琦直播间也有注意到，给导演，王一博一起递过两杯水......,主播品质,positive,3955
真的活该人家李佳琦直播红。,主播支持度,positive,3956
除去以往也展现出来的活跃直播间氛围，带货能力强以外，这次直播里他的好性格和用心也很棒诶，感觉不管是看直播的人还是现场的人都能处于一个轻松愉悦的状态。,直播间氛围,positive,3957
抢到了两张，感谢佳琦直播间的宣传，看得出来准备工作很用心，直播氛围挺轻松的，工作人员和小狗狗never都好可爱。,直播间氛围,positive,3958
在直播间间夸人家嘴巴漂亮，全程盯着佳琦看，整场直播氛围特别温暖。,直播间氛围,positive,3959
我一直都很喜欢李佳琦直播间的氛围，所以作为他的老粉，我觉得支持他是应该的，他的眼光也是超好的,直播间氛围,positive,3960
李佳琦直播间好欢乐，每个助播都超级好，好喜欢这个氛围。,直播间氛围,positive,3961
李佳琦直播间的工作氛围好好不想做他的消费者了想去佳琦直播间做打工人,直播间氛围,positive,3962
比如我原来在李佳琦直播间买的很少，反而现在多了点，因为有了对比，就觉得还是他靠谱点。,主播信任度,positive,3963
李佳琦直播间的氛围感觉好好啊在这里工作大家都好开心的样子,直播间氛围,positive,3964
老喜欢在李佳琦那里买东西了，方便实惠还快乐，因为直播间超欢乐的呀，氛围好好,直播间氛围,positive,3965
李佳琦直播间的氛围也太好了吧，是一次愉快的购物体验,直播间氛围,positive,3966
我喜欢看李佳琦的直播间，因为真的很有氛围感,直播间氛围,positive,3967
越来越喜欢李佳琦的直播间了，氛围是真的好，让我找回当初的感觉,直播间氛围,positive,3968
李佳琦直播间的氛围真的是太让人喜欢了，永远都是欢乐多多，超多自己喜欢的,直播间氛围,positive,3969
有没有和我一样的，从来没有错李佳琦的直播间，氛围真的是超好的，很喜欢,直播间氛围,positive,3970
我很喜欢李佳琦直播间的氛围，因为真的很愉快，让人看了之后就觉得特别的快乐。,直播间氛围,positive,3971
李佳琦的直播间氛围好好，我可太喜欢了,直播间氛围,positive,3972
李佳琦直播间的氛围也太好了吧，我好喜欢,直播间氛围,positive,3973
李佳琦直播间氛围好好，让人觉得很快乐,直播间氛围,positive,3974
希望直播间的每位伙伴都可以越来越好，希望所有女生也会越来越好,主播支持度,positive,3975
所有女生故事会什么时候开始看佳琦的呢，时间已经有点记不太清了，一开始只是为了想更便宜的买要买的东西，,价格,positive,3976
后面慢慢的就算没有想买的东西，也会去看看直播间，很喜欢直播间的氛围，所有人之间的互动，喜欢每一位助播,直播间氛围,positive,3977
其实喜欢李佳琦直播间，只是因为喜欢氛围，有时候晚上无聊的时候，有个声音热热闹闹的陪着自己，不显得自己特别孤单。,直播间氛围,positive,3978
直播间抢的就是一个头脑发热的氛围,直播间氛围,positive,3979
没买过不知道，不过看过他直播，很有氛围还是更喜欢直播间的那种氛围,直播间氛围,positive,3980
但是我真的喜欢他直播间的氛围，而且讲解的也很详细易懂,直播间氛围,positive,3981
别的不说，李佳琦那的氛围真的特别好，我每次去都觉得花钱也让人好开心,直播间氛围,positive,3982
没觉得，我相反觉得李佳琦的氛围挺好的，还蛮喜欢这种感觉的。,直播间氛围,positive,3983
至于都差不多，但是喜欢李佳琦的那种氛围。,直播间氛围,positive,3984
直播间氛围真的太好了，所有人员都很有爱温柔体贴,直播间氛围,positive,3985
李佳琦太帅了，答题就给红包，双十一抢购回血红包太贴心了，答题到100虽然有难度，但是咱还是顺利拿到红包了,红包,positive,3986
谢谢我佳琦大帅哥，佳琦帅佳琦强,主播支持度,positive,3987
真的好喜欢李佳琦直播间的氛围，介绍完就直接上链接，而不是像那些不知名主播们介绍完才开始喊要的扣1,直播间氛围,positive,3988
以前的自己是个完全不看直播的人但是看到李佳琦的直播间，觉得他和印象当中的那种直播间有一点不一样，没有那么多的套路和噱头，没有那种你争我抢的氛围,直播间氛围,positive,3989
晚上八点付尾款，李佳琦和员工在直播间倒数五秒的时候，我还以为过年了（是这种氛围）,直播间氛围,positive,3990
开着李佳琦直播间下定金和付尾款的时候是一年里最有节日氛围的时候了过年啦！,直播间氛围,positive,3991
每次一进李佳琦直播间就忍不住买东西大晚上的直播真的很容易激发购物欲，直播间氛围也是促使下单的原因之一,主播专业度,positive,3992
今天有空听了会儿佳琦直播间，讲话氛围还是那么的舒服。自在、搞笑、舒心。,直播间氛围,positive,3993
李佳琦真的有做到真诚对待每一个观众，设身处地的为每一个女性朋友着想。,主播品质,positive,3994
就是这份真诚善良与用心，才让女性朋友们离不开李佳琦的直播间。,主播品质,positive,3995
不知道朋友们有没有去过李佳琦的直播间，如果大家看过他的直播，应该就能明白为什么李佳琦那么受女生朋友的喜欢,主播支持度,positive,3996
消费，信任感还是很重要的，而信任感的建立不是一天两天的事。,主播信任度,positive,3997
佳琦直播间的氛围热闹又温馨。,直播间氛围,positive,3998
李老头你播一天，美眉们就支持你一天！,主播支持度,positive,3999
在各平台直播间鱼目混杂，演员没戏拍也来抢佳琦饭碗的情况下，他的底气是我们的信任，我们的信任来来自他的,主播信任度,positive,4000
人品和态度。,主播品质,positive,4001
李佳琦直播间的氛围好舒服,直播间氛围,positive,4002
哇哦，这个购物氛围真的很好,直播间氛围,positive,4003
有啥可韭菜的，我买的就是我所需要的，购物过程很快乐，直播间氛围好,直播间氛围,positive,4004
宇宙第一不接收反驳哈哈哈而且李哥直播间的氛围是我喜欢的,直播间氛围,positive,4005
双十一都说今年双十一不够氛围，激情不高。殊不知我们在李佳琦直播间杀红了眼李佳琦直播,直播间氛围,positive,4006
咱们就是说第一次看李佳琦直播就爱上了直播间的氛围和节奏我爱李老头你！,直播间氛围,positive,4007
以后能搞钱了也要参与一波李佳琦直播间的抢购，太有氛围了，花大钱的氛围,直播间氛围,positive,4008
李佳琦直播间比过年还有氛围感31号等着付尾款咯,直播间氛围,positive,4009
边吃板栗边看李佳琦直播间双十一的氛围感哈哈哈大家的钱跟不是钱一样很多东西就犹豫了一下就没了,直播间氛围,positive,4010
李佳琦直播间的氛围真好，就是那种感觉自己什么都缺什么都没有的那种氛围,直播间氛围,positive,4011
太搞笑了办公室充斥着李佳琦直播间声音节日氛围到位了,直播间氛围,positive,4012
佳琦直播间没有我想要的品，但是还是买了一个眼膜，以示支持，略微参与一下过节氛围,主播支持度,positive,4013
纯纯在李佳琦直播间打发时间，因为直播间好多人好热闹啊，有过节的氛围了。,直播间氛围,positive,4014
老实讲第一次完整看李佳琦直播和买东西，直播间这种氛围确实是有点让人上头看完感觉这也不错那也不错都很不错。,直播间氛围,positive,4015
男朋友说他也想感受感受佳琦直播间的氛围,直播间氛围,positive,4016
还有大家关于offer的吐槽，他都有看到！还安慰美眉们，让所有女生不要担心销量。我真的爱死这个男人了！,主播支持度,positive,4017
大家都放宽心，按需购买，不要太因为某些小事影响心情，美美购物，美美支持佳琦！,主播支持度,positive,4018
李佳琦佳琦真的真的很用心了，之前超话里面有美眉说直播间太吵，不像之前的氛围，然后今天佳琦就没有用那些庆祝的道具了,主播品质,positive,4019
李佳琦直播间氛围真的好好，工作人员也很可爱哎，零食节从六点半吃到现在还没播完哈哈哈，真是又幸福又痛苦,直播间氛围,positive,4020
李佳琦直播间氛围好好哦，吃零食的时候很和谐的分享，女孩子们有的时候会共吃一根香肠一根年糕。,直播间氛围,positive,4021
李佳琦直播间的氛围我很喜欢，然后遇到自己喜欢的就果断下手，我今天手速还不错，抢到几个,直播间氛围,positive,4022
直播间氛围回来了！！！,直播间氛围,positive,4023
这一次的重新开播，给了我快乐生活的一些盼头。,直播间氛围,positive,4024
怎么说呢，李佳琦可以算是我之前每次下班回家都会看的男人了，真的很喜欢他直播间的氛围，包括他的小助理，,直播间氛围,positive,4025
